language,displayUrl,url,name,query,date,snippet,rank
en,https://www.britannica.com/animal/wolverine,https://www.britannica.com/animal/wolverine,"Wolverine | Size, Habitat, & Facts | Britannica",Wolverine,2023-05-18,"wolverine, (Gulo gulo), also called glutton, carcajou, or skunk bear, member of the weasel family (Mustelidae) that lives in cold northern latitudes of North America and Eurasia, especially in timbered areas. The wolverine is noted for its strength, cunning, fearlessness, and voracity, and the species is renowned for its ability to face down and fight larger predators that are more than twice ...",1
en,https://en.wikipedia.org/wiki/Wolverine,https://en.wikipedia.org/wiki/Wolverine,Wolverine - Wikipedia,Wolverine,2023-05-18,"The wolverine (/ ˈ w ʊ l v ə r iː n /) (Gulo gulo; Gulo is Latin for ""glutton""), also referred to as the glutton, carcajou, or quickhatch (from East Cree, kwiihkwahaacheew), is the largest land-dwelling species of the family Mustelidae.It is a muscular carnivore and a solitary animal. The wolverine has a reputation for ferocity and strength out of proportion to its size, with the ...",2
en,https://en.wikipedia.org/wiki/Wolverine_(character),https://en.wikipedia.org/wiki/Wolverine_(character),Wolverine (character) - Wikipedia,Wolverine,2023-05-18,"Wolverine (birth name: James Howlett; alias: Logan and Weapon X) is a character appearing in American comic books published by Marvel Comics, mostly in association with the X-Men.He is a mutant with animal-keen senses, enhanced physical capabilities, a powerful regenerative ability known as a healing factor, and three retractable claws in each hand. . Wolverine has been depicted as a member of ...",3
en,https://www.nationalgeographic.com/animals/mammals/facts/wolverine,https://www.nationalgeographic.com/animals/mammals/facts/wolverine,Wolverine | National Geographic,Wolverine,2023-05-18,"Wolverine. The wolverine is a powerful animal that resembles a small bear but is actually the largest member of the weasel family. These tough animals are solitary, and they need a lot of room to ...",4
en,https://www.ign.com/articles/wolverine-movies-in-order,https://www.ign.com/articles/wolverine-movies-in-order,How to Watch the Wolverine Movies in (Chronological) Order,Wolverine,2023-05-18,"Timeline 1. 1. X-Men Origins: Wolverine (2009) Where to Watch: Starz, Amazon Prime Video. The easiest way to kick off a Wolverine binge is with Wolverine's movie origin story, X-Men Origins ...",5
en,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Mammals/Wolverine,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Mammals/Wolverine,Wolverine | National Wildlife Federation,Wolverine,2023-05-18,"The wolverine ranges widely, up to 15 miles a day, and needs lots of habitat. Home ranges can vary from 100 to 600 square miles. In the lower 48, they live primarily at high altitudes with alpine vegetation, but can venture to lower elevations. It is estimated that 25 to 300 live in the lower 48 states. In 2008 and 2009, one wolverine was ...",6
en,https://www.wolverine.com/US/en/men,https://www.wolverine.com/US/en/men/,"Men's Boots, Shoes, Clothes, & Accessories | Wolverine",Wolverine,2023-05-18,"Men's Cabor EPX® Waterproof Composite Toe 6"" Boot. Men's Raider DuraShocks® Waterproof 6"" Work Boot. Men's ShiftPLUS Work LX 6"" Boot. Men's Trappeur Insulated 8"" Work boot. Men's Floorhand Waterproof 6"" Work Boot. Men's DuraShocks® Insulated Waterproof Wellington. Men's Tactical Sport 2 Mid Side Zip Composite Toe EH.",7
en,https://www.gamesradar.com/frank-miller-returns-to-wolverine-for-an-absolutely...,https://www.gamesradar.com/frank-miller-returns-to-wolverine-for-an-absolutely-berserker-variant-cover/,Frank Miller returns to Wolverine for an absolutely berserker variant ...,Wolverine,2023-05-18,"Now in 2023, over 40 years later, Frank Miller has drawn Wolverine again for a new cover - and the modern Frank Miller Wolverine is absolutely bonkers. Miller's art style has evolved significantly ...",8
en,https://en.wikipedia.org/wiki/Narwhal,https://en.wikipedia.org/wiki/Narwhal,Narwhal - Wikipedia,Narwhal,2023-05-18,"The narwhal, also known as a narwhale ( Monodon monoceros ), is a medium-sized toothed whale that possesses a large ""tusk"" from a protruding canine tooth. It lives year-round in the Arctic waters around Greenland, Canada and Russia.",1
en,https://www.nationalgeographic.com/animals/mammals/facts/narwhal,https://www.nationalgeographic.com/animals/mammals/facts/narwhal,"Narwhal, facts and photos - National Geographic",Narwhal,2023-05-18,"The narwhal is the unicorn of the sea, a pale-colored porpoise found in Arctic coastal waters and rivers. These legendary animals have two teeth. In males, the more prominent tooth grows into a...",2
